tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
119250,105838,True,Wed Oct 11 05:33:17 +0000 2017,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?","119249,119251",
119249,105837,True,Wed Oct 11 07:37:27 +0000 2017,"@105838 Me too am suffering , hope the can find a solution",119248,119250
119248,AppleSupport,False,Wed Oct 11 13:38:29 +0000 2017,"@105837 We can help. Which version of iOS are you on? You can find it in Settings > General > About. Reply in DM.",,119249
119263,105841,True,Wed Oct 11 06:29:07 +0000 2017,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",119262,
119262,AppleSupport,False,Wed Oct 11 13:30:39 +0000 2017,"@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.",,119263
119268,105843,True,Wed Oct 11 06:27:16 +0000 2017,"Okay @76099 I used my phone for 2 minutes and it drains it down 8 percent",119267,
119267,AppleSupport,False,Wed Oct 11 13:30:38 +0000 2017,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running.",,119268
119270,105844,True,Wed Oct 11 06:49:50 +0000 2017,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please? Battery runs out in half the time, apps now frequently crash.",119269,119271
119269,AppleSupport,False,Wed Oct 11 13:30:12 +0000 2017,"@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.",,119270
119272,105844,True,Wed Oct 11 02:19:23 +0000 2017,"You’ve paralysed my phone with your update @76099 grrrrrrrrrr",119271,
119271,AppleSupport,False,Wed Oct 11 03:26:00 +0000 2017,"@105844 We'd be happy to help. Send us a DM and we can start there.",,119272
119280,105846,True,Wed Oct 11 07:13:34 +0000 2017,"So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?",119279,
119279,AppleSupport,False,Wed Oct 11 13:35:01 +0000 2017,"@105846 We'd like to help. What happens when you try to listen to Apple Music & use WhatsApp? Does the music pause? Let us know in DM.",,119280
119292,105848,True,Wed Oct 11 08:06:34 +0000 2017,"#ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days",119289,
119289,AppleSupport,False,Wed Oct 11 13:44:29 +0000 2017,"@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply.",119290,119291
119301,105852,True,Wed Oct 11 08:50:14 +0000 2017,"@76099 @AppleSupport fix this update. It’s horrible",119300,
119300,AppleSupport,False,Wed Oct 11 13:31:27 +0000 2017,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there.",,119301
119324,105857,True,Wed Oct 11 08:52:14 +0000 2017,"@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.",119323,119325
119323,AppleSupport,False,Wed Oct 11 13:55:31 +0000 2017,"@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.",,119324
119326,105857,True,Tue Oct 10 23:09:08 +0000 2017,"My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!",119325,
119325,AppleSupport,False,Wed Oct 11 00:19:34 +0000 2017,"@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?",,119326
